high accuracy:0.9297975492129742, flow srcip:805407020
high accuracy:1.0, flow srcip:832321015
high accuracy:1.0, flow srcip:2996196998
false negative:654926334
high accuracy:0.9547386559448593, flow srcip:1840098647
high accuracy:0.9982092734055783, flow srcip:805468359
high accuracy:0.967032967032967, flow srcip:1321135154
high accuracy:0.9961662872888463, flow srcip:2654878377
false negative:2993373570
high accuracy:0.997289972899729, flow srcip:3714182851
high accuracy:1.0, flow srcip:2488343853
high accuracy:1.0, flow srcip:2572021310
high accuracy:0.9806949806949807, flow srcip:2545518423
high accuracy:0.9898168296959837, flow srcip:1318493467
high accuracy:0.978494623655914, flow srcip:3199507421
high accuracy:0.9963134702341523, flow srcip:805406787
high accuracy:1.0, flow srcip:2458762869
high accuracy:0.9999354740489732, flow srcip:832320907
high accuracy:0.9618476404681577, flow srcip:700527772
high accuracy:0.9770168262134694, flow srcip:702415544
high accuracy:1.0, flow srcip:3753468536
high accuracy:0.9976388991367225, flow srcip:1759971018
high accuracy:0.9370838505811985, flow srcip:859111158
false negative:3840183907
high accuracy:1.0, flow srcip:696552050
